Shape,Area (m2),Depth (m),Width (m),Ix (m4),Iy (m4),Plastic Mod Xp (m3),Plastic Mod Yp (m3),Cost per Meter (usd)
L76x51x13,0.00145,0.0762,0.0508,0.0000009077,0.0000001719,-,-,16.5
L76x64x4.8,0.000642,0.0762,0.0635,0.000000500629,0.000000117102,-,-,7.31
L76x64x6.4,0.000847,0.0762,0.0635,0.000000645595,0.000000152144,-,-,9.64
L76x64x7.9,0.00105,0.0762,0.0635,0.000000780299,0.000000185801,-,-,11.95
L76x64x9.5,0.00124,0.0762,0.0635,0.000000905258,0.00000021844,-,-,14.11
L76x64x13,0.00161,0.0762,0.0635,0.000001127293,0.000000281823,-,-,18.33
L76x76x4.8,0.000703,0.0762,0.0762,0.000000638938,0.000000161227,-,-,8
L76x76x6.4,0.000927,0.0762,0.0762,0.000000825824,0.00000020996,-,-,10.55
L76x76x7.9,0.00115,0.0762,0.0762,0.000001000373,0.000000256866,-,-,13.09
L76x76x9.5,0.00136,0.0762,0.0762,0.000001163142,0.000000302361,-,-,15.48
L76x76x11,0.00157,0.0762,0.0762,0.000001312835,0.000000346288,-,-,17.87
L76x76x13,0.00177,0.0762,0.0762,0.000001454642,0.000000390414,-,-,20.15
L89x64x6.4,0.000927,0.0889,0.0635,0.000000895739,0.000000176946,-,-,10.55
L89x64x7.9,0.00115,0.0889,0.0635,0.00000108695,0.000000215964,-,-,13.09
L89x64x9.5,0.00136,0.0889,0.0635,0.000001266108,0.000000253674,-,-,15.48
L89x64x13,0.00177,0.0889,0.0635,0.000001589604,0.000000326401,-,-,20.15
L89x76x6.4,0.00101,0.0889,0.0762,0.000001080297,0.000000258939,-,-,11.5
L89x76x7.9,0.00125,0.0889,0.0762,0.000001312385,0.000000316911,-,-,14.23
L89x76x9.5,0.00148,0.0889,0.0762,0.000001530338,0.000000373062,-,-,16.85
L89x76x13,0.00194,0.0889,0.0762,0.00000192507,0.000000481268,-,-,22.08
L89x89x6.4,0.00109,0.0889,0.0889,0.000001335274,0.000000337932,-,-,12.41
L89x89x7.9,0.00135,0.0889,0.0889,0.000001624915,0.000000414194,-,-,15.37
L89x89x9.5,0.0016,0.0889,0.0889,0.000001897984,0.000000488135,-,-,18.21
L89x89x11,0.00185,0.0889,0.0889,0.000002151988,0.000000559339,-,-,21.06
L89x89x13,0.0021,0.0889,0.0889,0.000002395499,0.000000630517,-,-,23.9
L102x76x6.4,0.00109,0.102,0.0762,0.000001430855,0.000000299009,-,-,12.41
L102x76x7.9,0.00135,0.102,0.0762,0.000001743327,0.00000036588,-,-,15.37
L102x76x9.5,0.00161,0.102,0.0762,0.000002038848,0.000000430531,-,-,18.33
L102x76x11,0.00185,0.102,0.0762,0.00000231468,0.000000492637,-,-,21.06
L102x76x13,0.0021,0.102,0.0762,0.000002580123,0.000000554596,-,-,23.9
L102x76x16,0.00258,0.102,0.0762,0.000003066223,0.000000676147,-,-,29.37
L102x89x6.4,0.00117,0.102,0.0889,0.000001689903,0.000000408348,-,-,13.32
L102x89x7.9,0.00145,0.102,0.0889,0.000002060894,0.00000050075,-,-,16.5
L102x89x9.5,0.00173,0.102,0.0889,0.000002412452,0.000000590307,-,-,19.69
L102x89x11,0.002,0.102,0.0889,0.00000274121,0.000000676451,-,-,22.77
L102x89x13,0.00226,0.102,0.0889,0.000003058155,0.0000007624,-,-,25.72
L102x102x6.4,0.00126,0.102,0.102,0.000002045036,0.000000516002,-,-,14.34
L102x102x7.9,0.00156,0.102,0.102,0.000002497399,0.000000633545,-,-,17.76
L102x102x9.5,0.00185,0.102,0.102,0.000002927394,0.000000747616,-,-,21.06
L102x102x11,0.00214,0.102,0.102,0.000003330766,0.000000857397,-,-,24.36
L102x102x13,0.00243,0.102,0.102,0.000003720894,0.000000966906,-,-,27.66
L102x102x16,0.00299,0.102,0.102,0.000004440628,0.000001180873,-,-,34.03
L102x102x19,0.00353,0.102,0.102,0.000005084433,0.000001391462,-,-,40.18
L127x76x6.4,0.00125,0.127,0.0762,0.000002370852,0.000000354382,-,-,14.23
L127x76x7.9,0.00155,0.127,0.0762,0.000002901486,0.000000433413,-,-,17.64
L127x76x9.5,0.00185,0.127,0.0762,0.000003408574,0.000000509638,-,-,21.06
L127x76x11,0.00213,0.127,0.0762,0.000003886988,0.000000582642,-,-,24.24
L127x76x13,0.00242,0.127,0.0762,0.000004352567,0.000000655217,-,-,27.55
L127x89x6.4,0.00133,0.127,0.0889,0.000002660664,0.000000509233,-,-,15.14
L127x89x7.9,0.00165,0.127,0.0889,0.00000325758,0.000000624385,-,-,18.78
L127x89x9.5,0.00197,0.127,0.0889,0.000003828478,0.000000735788,-,-,22.42
L127x89x13,0.00258,0.127,0.0889,0.000004892388,0.000000948943,-,-,29.37
L127x89x16,0.00318,0.127,0.0889,0.000005871576,0.000001155602,-,-,36.2
L127x89x19,0.00376,0.127,0.0889,0.000006762097,0.000001357738,-,-,42.8
L127x127x6.4,0.00157,0.127,0.127,0.000004021267,0.00000101126,-,-,17.87
L127x127x7.9,0.00195,0.127,0.127,0.000004933831,0.000001245001,-,-,22.2
L127x127x9.5,0.00233,0.127,0.127,0.000005810558,0.000001472466,-,-,26.52
L127x127x11,0.0027,0.127,0.127,0.000006642021,0.000001691627,-,-,30.73
L127x127x13,0.00306,0.127,0.127,0.000007455312,0.000001910123,-,-,34.83
L127x127x16,0.00379,0.127,0.127,0.000008982484,0.000002335214,-,-,43.14
L127x127x19,0.00449,0.127,0.127,0.000010383244,0.000002748918,-,-,51.11
L127x127x22,0.00515,0.127,0.127,0.000011626456,0.00000314365,-,-,58.62
L152x89x7.9,0.00185,0.152,0.0889,0.000004978633,0.000000710652,-,-,21.06
L152x89x9.5,0.0022,0.152,0.0889,0.000005868989,0.000000837136,-,-,25.04
L152x89x13,0.0029,0.152,0.0889,0.000007545921,0.000001078555,-,-,33.01
L152x89x16,0.00358,0.152,0.0889,0.000009112674,0.000001311641,-,-,40.75
L152x102x7.9,0.00195,0.152,0.102,0.000005490494,0.000000987621,-,-,22.2
L152x102x9.5,0.00233,0.152,0.102,0.000006474388,0.000001165607,-,-,26.52
L152x102x11,0.0027,0.152,0.102,0.000007410414,0.000001336469,-,-,30.73
L152x102x13,0.00306,0.152,0.102,0.00000832905,0.000001506262,-,-,34.83
L152x102x14,0.00343,0.152,0.102,0.000009213087,0.000001672327,-,-,39.04
L152x102x16,0.00379,0.152,0.102,0.000010063528,0.000001835295,-,-,43.14
L152x102x19,0.00449,0.152,0.102,0.000011667588,0.000002154358,-,-,51.11
L152x102x22,0.00515,0.152,0.102,0.000013104525,0.000002458307,-,-,58.62
L152x152x6.4,0.00189,0.152,0.152,0.000006980359,0.000001752234,-,-,21.51
L152x152x7.9,0.00235,0.152,0.152,0.000008591336,0.000002161724,-,-,26.75
L152x152x9.5,0.00281,0.152,0.152,0.000010149846,0.000002561347,-,-,31.98
L152x152x11,0.00325,0.152,0.152,0.000011638396,0.000002947135,-,-,36.99
L152x152x13,0.0037,0.152,0.152,0.000013105049,0.000003332167,-,-,42.12
L152x152x14,0.00414,0.152,0.152,0.000014522025,0.000003709861,-,-,47.12
L152x152x16,0.00458,0.152,0.152,0.000015890459,0.000004081074,-,-,52.13
L152x152x19,0.00544,0.152,0.152,0.000018486174,0.000004807372,-,-,61.92
L152x152x22,0.00626,0.152,0.152,0.000020828197,0.0000054955,-,-,71.25
L152x152x25,0.00708,0.152,0.152,0.000023076011,0.000006195827,-,-,80.59
L178x102x9.5,0.00258,0.178,0.102,0.000009450821,0.000001299083,-,-,29.37
L178x102x11,0.00298,0.178,0.102,0.000010841536,0.000001489104,-,-,33.92
L178x102x13,0.00339,0.178,0.102,0.000012213591,0.000001677734,-,-,38.59
L178x102x16,0.0042,0.178,0.102,0.00001482538,0.000002042561,-,-,47.81
L178x102x19,0.00498,0.178,0.102,0.000017268452,0.000002395262,-,-,56.68
L203x102x13,0.00371,0.203,0.102,0.000017028831,0.000001807592,-,-,42.23
L203x102x19,0.00546,0.203,0.102,0.000024238534,0.000002578938,-,-,62.15
L203x102x25,0.0071,0.203,0.102,0.000030546437,0.000003306768,-,-,80.82
L203x152x13,0.00435,0.203,0.152,0.000022595763,0.000004735423,-,-,49.51
L203x152x14,0.00487,0.203,0.152,0.000025111181,0.000005273052,-,-,55.43
L203x152x16,0.00539,0.203,0.152,0.000027557181,0.000005800841,-,-,61.35
L203x152x19,0.00642,0.203,0.152,0.000032246479,0.000006830716,-,-,73.08
L203x152x22,0.00739,0.203,0.152,0.000036540105,0.000007801521,-,-,84.12
L203x152x25,0.00837,0.203,0.152,0.000040725589,0.000008782804,-,-,95.27
L203x203x13,0.00499,0.203,0.203,0.000032226781,0.000008132197,-,-,56.8
L203x203x14,0.0056,0.203,0.203,0.000035856174,0.000009071378,-,-,63.74
L203x203x16,0.0062,0.203,0.203,0.000039394412,0.000009995529,-,-,70.57
L203x203x19,0.00739,0.203,0.203,0.00004620356,0.000011803422,-,-,84.12
L203x203x22,0.00852,0.203,0.203,0.000052469541,0.000013510619,-,-,96.98
L203x203x25,0.00967,0.203,0.203,0.000058608255,0.000015235907,-,-,110.07
L203x203x29,0.0108,0.203,0.203,0.000064423963,0.000016932103,-,-,122.93
