Shape,Shape_Type,Area (m2),Depth (m),Width (m),Weight (kg/m),Ix (m4),Iy (m4),Plastic Mod Xp (m3),Plastic Mod Yp (m3),Cost per Meter (usd)
2L8X4X9/16X3/4SLBB,2L,0.0013000000000000002,0.1016,,43.8,6.1984e-08,9.2352e-07,7.822799999999999e-06,4.346e-05,63.51
2L8X4X1/2SLBB,2L,0.00116,0.1016,,39.2,5.6159999999999995e-08,7.072e-07,7.0356e-06,3.4767999999999996e-05,56.84
2L8X4X1/2X3/8SLBB,2L,0.00116,0.1016,,39.2,5.6159999999999995e-08,7.612799999999999e-07,7.0356e-06,3.6735999999999995e-05,56.84
2L8X4X1/2X3/4SLBB,2L,0.00116,0.1016,,39.2,5.6159999999999995e-08,8.1952e-07,7.0356e-06,3.854e-05,56.84
2L8X4X7/16SLBB,2L,0.00102,0.1016,,34.4,5.0335999999999995e-08,6.198399999999999e-07,6.2484e-06,3.0504e-05,49.88
2L8X4X7/16X3/8SLBB,2L,0.00102,0.1016,,34.4,5.0335999999999995e-08,6.655999999999999e-07,6.2484e-06,3.198e-05,49.88
2L8X4X7/16X3/4SLBB,2L,0.00102,0.1016,,34.4,5.0335999999999995e-08,7.113599999999999e-07,6.2484e-06,3.3456e-05,49.88
2L7X4X3/4SLBB,2L,0.0015500000000000002,0.1016,,52.4,7.487999999999999e-08,7.196799999999999e-07,9.8564e-06,4.0508e-05,75.98
2L7X4X3/4X3/8SLBB,2L,0.0015500000000000002,0.1016,,52.4,7.487999999999999e-08,7.8208e-07,9.8564e-06,4.2968e-05,75.98
2L7X4X3/4X3/4SLBB,2L,0.0015500000000000002,0.1016,,52.4,7.487999999999999e-08,8.4864e-07,9.8564e-06,4.5428e-05,75.98
2L7X4X5/8SLBB,2L,0.0013000000000000002,0.1016,,44.2,6.489599999999999e-08,5.907199999999999e-07,8.3968e-06,3.3292e-05,64.09
2L7X4X5/8X3/8SLBB,2L,0.0013000000000000002,0.1016,,44.2,6.489599999999999e-08,6.489599999999999e-07,8.3968e-06,3.5588e-05,64.09
